id_artista,nombre,genero_musical,pais,cache_eur,email_manager,telefono
art-0135,Watt,Metall,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '23,907')",watt@management.com,0034660254091
art-0072,Radio Pirata,TECHNO,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '38439€')",no disponible,+34 693 916 665
art-0003,DJ Voltaje,Folk,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '146852')",dj.voltaje@gmail.com,+34628898923
art-0149,Kaleidoscopio,ska,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '178752')",kaleidoscopio@outlook.com,+34 610 593 403
art-0068,Amanecer,REGGAETON,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '293590')",amanecer@musica.es,659421007
art-0122,Jardín Secreto,Jazz,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '242223')",jardin.secreto@yahoo.es,+34 610 555 833
art-0035,Melodía Errante,r&b,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '57673')",melodia.errante@gmail.com,0034640962024
art-0083,Lux,FLAMENCO,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '181944')",lux@musica.es,0034651401477
art-0066,Ráfaga,FLAMENCO,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '67206')",rafaga@outlook.com,606895666
art-0031,Brisa Marina,Jaz,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '69587€')",brisa.marina@yahoo.es,692-747-083
art-0096,Dharma,Reguetón,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '283,805')",dharma@yahoo.es,664672520
art-0029,Frecuencia Zero,Ska,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '139,656')",N/A,0034646020613
art-0005,Luna Roja,flamenco,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '190600')",luna.roja@management.com,+34 613 556 182
art-0025,Aurora Boreal,ska,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '130087')",aurora.boreal@gmail.com,0034634999379
art-0094,Alquimia,TECHNO,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '151048')",alquimia@hotmail.com,690-968-005
art-0173,Iridiscente,ELECTRONICA,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '175,609')",iridiscente@musica.es,+34 621 810 655
art-0046,Horizonte,Salsa,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '265649')",horizonte@musica.es,685585469
art-0124,Lava,metal,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '78.432')",lava@hotmail.com,666319
art-0125,Mosaico,R & B,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '236355')",mosaico@musica.es,620261
art-0208,Salamandra,Techno,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '175569')",salamandra@gmail.com,0034632560305
art-0016,Cristal Roto,Metall,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '210.186')",cristal.roto@management.com,602823170999
art-0212,Willow,FOLK,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '177980')",willow@outlook.com,647-268-285
art-0087,Los Vagabundos,Tekno,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '280771€')",los.vagabundos@yahoo.es,684712997
art-0065,Trópico,salsa,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '53704')",tropico@yahoo.es,+34 606109013
art-0228,Alma Negra,techno,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '267161')",tiene espacios @correo.com,+34600076758
art-0229,Viento Sur,POP,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '136451')",viento.sur@musica.es,+34 632 394 260
art-0053,Corriente Alterna,R & B,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '222021')",corriente.alterna@gmail.com,687 260 863
art-0009,Noche Azul,Electrónic,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '74206')",noche.azul@musica.es,0034648586340
art-0086,Vórtice,METAL,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '215946')",vortice@hotmail.com,+34610779739
art-0206,Quirón,Flamenco,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '204643')",quiron@hotmail.com,0034697252113
art-0156,Rugido,regueton,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '72160')",rugido@outlook.com,+34642894344
art-0213,Los Olvidados,SKA,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '70369')",los.olvidados@musica.es,+34 613 009 833
art-0148,Jungla Urbana,HipHop,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '101193€')",jungla.urbana@gmail.com,653690
art-0219,El Circo Eléctrico,FLAMENCO,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '239043€')",-,619997018
art-0151,Meridiano,METAL,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '185311')",meridiano@management.com,607 698 469
art-0167,Crepúsculo,electro,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '27531')",crepusculo@outlook.com,+34643947691
art-0209,Titán,INDIE,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '126,478')",titan@yahoo.es,666743
art-0073,Los Invisibles,hip hop,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '284,105')",los.invisibles@gmail.com,0034612257687
art-0015,El Último Vals,R & B,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '68314')",el.ultimo.vals@musica.es,0034697969689
art-0123,Kilómetro Cero,Techno,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '179002')",kilometro.cero@hotmail.com,+34646892354
art-0211,Vestigio,ROCK,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '291.094')",vestigio@musica.es,0034676475853
art-0138,Zenit,Techno,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '291739€')",zenit@management.com,660306604999
art-0157,Solsticio,metal,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '289356')",solsticio@yahoo.es,626-975-128
art-0095,VENTISCA,cumbia,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '21668')",ventisca@outlook.com,655-767-881
art-0120,Helio,METAL,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '93114')",helio@musica.es,+34 658548403
art-0074,Magma,Cumbia,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '11876')",magma@management.com,637-333-543
art-0187,Wisteria,Folk,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '71.359')",wisteria@outlook.com,634-529-507
art-0192,Cáctus,SALSA,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '115886')",cactus@outlook.com,663193474999
art-0133,Ultramar,hip-hop,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '113,298')",ultramar@outlook.com,668140959999
art-0090,Altavoz,ELECTRONICA,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '201.563')",altavoz@hotmail.com,661682508
art-0128,Penumbra,Folk,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '99691€')",penumbra@outlook.com,646 095 437
art-0154,Pólvora,folk,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '41,310')",polvora@musica.es,603-478-029
art-0041,Nómada,hip hop,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '226385')",nomada@musica.es,663-509-974
art-0205,Prisma,indie,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '283029')",prisma@hotmail.com,655902739999
art-0169,Equinoccio,Reggaetón,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '186,018')",no disponible,
art-0217,El Eco,Electrónica,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '122247')",el.eco@hotmail.com,+34 655804273
art-0136,Xenón,flamenco,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '163250')",xenon@outlook.com,659135
art-0042,Reverso,Cumbia,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '149785')",reverso@management.com,626-726-767
art-0110,Obsidiana,techno,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '290,058')",obsidiana@hotmail.com,655 833 185
art-0162,Xilófono,HIP HOP,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '289799')",xilofono@management.com,677-933-054
art-0200,Kometa,Jazz,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '145519')",kometa@management.com,0034602099943
art-0232,Los Eternos,Salsa,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '212978')",los.eternos@outlook.com,+34 611 267 237
art-0056,Clave De Sol,SALSA,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '164555€')",clave.de.sol@outlook.com,0034684187049
art-0104,Rayo,pop,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '291564')",rayo@hotmail.com,+34 679991301
art-0057,Delirio,Pop,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '159116')",delirio@musica.es,609255216999
art-0107,Topacio,FOLK,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '117,155')",topacio@gmail.com,+34 604180968
art-0103,Jade,Indie,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '100514')",jade@outlook.com,0034616901217
art-0049,Fusión Latina,Reggaeton,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '221276')",fusion.latina@musica.es,+34 640 079 111
art-0080,Andén Cero,POP,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '81725')",anden.cero@management.com,632713
art-0131,Sístole,Jaz,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '75149')",sistole@yahoo.es,641551377999
art-0051,Los Eternos,Jazz,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '212978')",los.eternos@outlook.com,+34 611 267 237
art-0001,Los Rebeldes,Cumbia,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '14112')",los.rebeldes@hotmail.com,+34 679 254 563
art-0152,Nebulosa,Cumbia,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '213971')",nebulosa@management.com,+34 658810561
art-0018,Los Olvidados,reggaeton,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '70369')",los.olvidados@musica.es,+34 613 009 833
art-0216,GRIETA,Electrónica,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '202,109')",correo@,+34655692629
art-0198,Iris,jazz,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '201529')",iris@outlook.com,+34 672 109 613
art-0215,Vórtice,METAL,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '215946')",vortice@hotmail.com,+34610779739
art-0225,Órbita,Indy,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '216364')",correo@,687-512-508
art-0077,Neón,Techno,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '1603')",neon@musica.es,666906
art-0185,Utopía,flamenco,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '20555')",utopia@hotmail.com,666-489-301
art-0081,Grieta,flamenco,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '202,109')",grieta@musica.es,+34655692629
art-0168,Diáspora,Reguetón,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '84541€')",diaspora@musica.es,667839
art-0032,Código Rojo,Flamenco,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '194575')",codigo.rojo@hotmail.com,+34605354599
art-0121,Incandescente,folk,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '41822')",incandescente@musica.es,+34 654362516
art-0033,Tierra Firme,regueton,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '131825')",tierra.firme@yahoo.es,631-774-346
art-0047,Latido,RnB,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '274,311')",latido@hotmail.com,672 498 004
art-0010,Ritmo Salvaje,electronica,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '259.744')",,680 048 665
art-0101,Los Descalzos,folk,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '284216')",los.descalzos@management.com,+34 637546086
art-0062,Nova Express,folk,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '126998€')",nova.express@management.com,0034692850100
art-0039,Bajo Presión,Kunbia,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '66339')",bajo.presion@yahoo.es,0034617084279
art-0108,Granito,folk,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '211563')",granito@gmail.com,619 909 029
art-0071,El Circo Eléctrico,metal,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '239043€')",-,619997018
art-0214,Ecos Del Sur,Techno,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '211.325')",ecos.del.sur@hotmail.com,686282
art-0043,La Tribu,Rock,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '129368')",la.tribu@musica.es,+34 626 096 655
art-0017,Fuego Lento,Reggaeton,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '116457€')",notengo@email,689788
art-0038,Callejón Sin Salida,pop,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '100656')",callejon.sin.salida@management.com,+34644318698
art-0127,Oropel,Jaz,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '151511')",N/A,+34 699176303
art-0137,Yesca,r&b,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '201211€')",yesca@outlook.com,686057
art-0078,Polvo De Estrella,rnb,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '107723')",polvo.de.estrella@hotmail.com,
art-0181,Quintaesencia,Techno,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '77795')",quintaesencia@yahoo.es,0034664300930
art-0224,CÓDIGO ROJO,Techno,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '194575')",codigo.rojo@hotmail.com,+34605354599
art-0141,Centella,R&B,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '246.948')",centella@gmail.com,697607800999
art-0179,Ónix,FLAMENCO,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '139.601')",onix@hotmail.com,639945150
art-0044,Despertar,Folk,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '128.918')",despertar@management.com,693403697999
art-0134,Vendaval,techno,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '277.054')",sin email,692-992-167
art-0063,Los Pioneros,Hip-Hop,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '194,472')",los.pioneros@musica.es,636361787
art-0182,Rocío,reggaeton,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '283369')",rocio@musica.es,+34 632542167
art-0176,Laberinto,Metall,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '252893')",laberinto@management.com,676 849 080
art-0106,Ébano,rock ,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '140129')",correo sin arroba.com,668 885 632
art-0075,Estática,salsa,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '258805')",estatica@outlook.com,+34 644 265 498
art-0004,Café Quemado,Pop,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '200191')",sin email,650 806 024
art-0227,Lux,FLAMENCO,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '181944')",lux@musica.es,0034651401477
art-0204,Oleaje,Kunbia,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '224,976')",oleaje@gmail.com,620027648
art-0172,Hipnosis,jazz,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '178778')",hipnosis@yahoo.es,+34 606080513
art-0196,Gaviota,flamenco,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '162569€')",gaviota@outlook.com,694 004 067
art-0091,Espiral,Cumbia,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '244926')",espiral@management.com,+34 640 151 803
art-0164,Zodíaco,CUMBIA,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '219411')",zodiaco@gmail.com,+34 691 937 914
art-0007,Sombra Latina,electronica,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '199943')",sombra.latina@management.com,+34 630742311
art-0166,Bermellón,Metal,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '182.073')",bermellon@hotmail.com,0034660343755
art-0105,Zafiro,Hip Hop,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '76858€')",zafiro@musica.es,+34631934639
art-0132,Titanio,Indie,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '173216')",titanio@management.com,+34602446861
art-0160,Vértigo,cumbia,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '181624')",vertigo@musica.es,607 437 386
art-0143,Enigma,Rock,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '271205')",enigma@management.com,625 140 847
art-0115,Brújula,electronica,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '162996')",brujula@yahoo.es,+34 699451183
art-0226,Ecos Del Sur,R & B,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '211.325')",correo sin arroba.com,686282
art-0193,Duende,R&B,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '115510')",duende@management.com,610 482 769
art-0023,Silencio Roto,ELECTRONICA,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '156560')",silencio.roto@gmail.com,678406
art-0034,SINFONÍA URBANA,rnb,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '93826')",sinfonia.urbana@gmail.com,635-810-056
art-0027,Voltio,FOLK,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '296170€')",voltio@gmail.com,0034609233013
art-0201,Loto,Reggaetón,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '53.898')",loto@outlook.com,
art-0230,Los Invisibles,TECHNO,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '284,105')",-,0034612257687
art-0114,Llamarada,Jazz,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '147049')",llamarada@outlook.com,+34 635896226
art-0079,Los Satélites,Kunbia,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '126.460')",los.satelites@yahoo.es,615228
art-0002,María Del Mar,Roc,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '50123')",maria.del.mar@musica.es,0034656306997
art-0024,Mala Hierba,Flamenco,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '279463€')",mala.hierba@musica.es,654 193 837
art-0028,Eclipse Total,Jazz,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '83704')",eclipse.total@musica.es,689 038 526
art-0093,Los Nocturnos,Metal,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '12502')",los.nocturnos@management.com,606582
art-0082,TEMPESTAD,SKA,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '267200')",tempestad@gmail.com,619944
art-0231,SÉPTIMO CIELO,Metal,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '152109€')",septimo.cielo@outlook.com,+34 615 558 733
art-0180,Pandora,METAL,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '257378€')",pandora@yahoo.es,+34 650 961 690
art-0202,MÁRMOL,Folk,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '283989')",marmol@gmail.com,0034643038943
art-0189,Yacaré,Flamenko,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '46475')",yacare@gmail.com,
art-0040,Sonido Ancestral,INDIE,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '199781')",sonido.ancestral@hotmail.com,
art-0069,Cenizas,Techno,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '225830')",cenizas@musica.es,610-896-797
art-0188,Xéfiro,rock,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '177743')",xefiro@musica.es,+34 654 423 996
art-0019,Estrella Polar,Jazz,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '216535')",estrella.polar@management.com,0034614665841
art-0183,Sirocco,CUMBIA,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '279418')",sirocco@hotmail.com,+34 618450513
art-0064,Espejismo,Hip-Hop,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '64.258')",espejismo@yahoo.es,637111151999
art-0076,Séptimo Cielo,Metal,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '152109€')",septimo.cielo@outlook.com,+34 615 558 733
art-0159,Umbral,Indie,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '251958')",umbral@outlook.com,660394
art-0022,Cumbia Power,electro,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '2130')",cumbia.power@yahoo.es,674593
art-0098,BAOBAB,JAZZ,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '207870')",@dominio.com,649 858 348
art-0170,Floresta,Ppo,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '71220€')",floresta@management.com,0034675405783
art-0150,LEVANTE,SALSA,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '95,611')",levante@yahoo.es,657-192-331
art-0175,Kryptonita,Jazz,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '58464')",kryptonita@musica.es,0034677641510
art-0048,El Eco,Electrónica,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '122247')",el.eco@hotmail.com,+34 655804273
art-0111,Los Errantes,Jaz,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '164852€')",los.errantes@yahoo.es,657 965 485
art-0097,Karma Sound,metal,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '178584')",karma.sound@outlook.com,653339667999
art-0142,Diapasón,Indy,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '152048€')",diapason@gmail.com,680092958999
